seed,level,entropy
1000,,99468725.18183129
1000,0.0,122210583.62307045
1000,1.0,50395316.90791288
1000,2.0,17214922.314194717
1000,3.0,7764964.03714199
1000,4.0,7341892.208435689
1000,5.0,11376662.403416395
1000,6.0,26368116.560905214
1001,,99285967.0524271
1001,0.0,122254336.35998973
1001,1.0,49948417.397683755
1001,2.0,15150861.088067945
1001,3.0,9217477.296176158
1001,4.0,8887925.912443783
1001,5.0,5822630.407536489
1001,6.0,26368116.560905214
1002,,97952454.27706608
1002,0.0,125358268.47523114
1002,1.0,54602289.58146713
1002,2.0,18634636.666238826
1002,3.0,8391116.076219795
1002,4.0,7713536.126300782
1002,5.0,4611556.08696666
1002,6.0,20279504.757376652
1002,7.0,26368116.560905214
